Year,Global Ave Temp (°C),20yr Smoothed Global,Minneapolis Ave Temp (°C),20yr Smoothed Minneapolis
1750,8.72,,5.65,
1751,7.98,,6.44,
1752,5.78,,-2.72,
1753,8.39,,4.94,
1754,8.47,,4.69,
1755,8.36,,1.8,
1756,8.85,,5.11,
1757,9.02,,4.38,
1758,6.74,,3.49,
1759,7.99,,4.5,
1760,7.19,,2.47,
1761,8.77,,5.27,
1762,8.61,,5.2,
1763,7.5,,2.26,
1764,8.4,,4.55,
1765,8.25,,4.15,
1766,8.41,,5.34,
1767,8.22,,3.8,
1768,6.78,,3.8,
1769,7.69,8.01,4.75,3.99
1770,7.69,7.95,4.61,3.94
1771,7.85,7.95,5.18,3.88
1772,8.19,8.07,5.2,4.27
1773,8.22,8.06,5.25,4.29
1774,8.77,8.08,4.56,4.28
1775,9.18,8.12,5.99,4.49
1776,8.3,8.09,4.8,4.48
1777,8.26,8.05,4.73,4.50
1778,8.54,8.14,1.8,4.41
1779,8.98,8.19,5.09,4.44
1780,9.43,8.30,8.71,4.75
1781,8.1,8.27,5.02,4.74
1782,7.9,8.23,4.58,4.71
1783,7.68,8.24,4.38,4.81
1784,7.86,8.22,4.48,4.81
1785,7.36,8.17,4.17,4.81
1786,8.26,8.16,4.74,4.78
1787,8.03,8.15,4.79,4.83
1788,8.45,8.24,5.16,4.90
1789,8.33,8.27,4.95,4.91
1790,7.98,8.28,4.83,4.92
1791,8.23,8.30,5.1,4.92
1792,8.09,8.30,4.65,4.89
1793,8.23,8.30,5.01,4.88
1794,8.53,8.29,5.17,4.91
1795,8.35,8.24,5.01,4.86
1796,8.27,8.24,5.02,4.87
1797,8.51,8.26,4.63,4.86
1798,8.67,8.26,5.34,5.04
1799,8.51,8.24,5.11,5.04
1800,8.48,8.19,5.06,4.86
1801,8.59,8.22,5.39,4.88
1802,8.58,8.25,5.52,4.93
1803,8.5,8.29,5.3,4.97
1804,8.84,8.34,5.37,5.02
1805,8.56,8.40,5.39,5.08
1806,8.43,8.41,5.05,5.09
1807,8.28,8.42,4.84,5.10
1808,7.63,8.38,4.63,5.07
1809,7.08,8.32,3.79,5.01
1810,6.92,8.26,3.86,4.96
1811,6.86,8.20,4.04,4.91
1812,7.05,8.14,3.17,4.84
1813,7.74,8.12,4.7,4.82
1814,7.59,8.07,4.64,4.79
1815,7.24,8.02,3.75,4.73
1816,6.94,7.95,3.02,4.63
1817,6.98,7.87,3.51,4.57
1818,7.83,7.83,4.71,4.54
1819,7.37,7.77,3.87,4.48
1820,7.62,7.73,3.49,4.40
1821,8.09,7.71,4.07,4.34
1822,8.19,7.69,4.38,4.28
1823,7.72,7.65,4.01,4.21
1824,8.55,7.63,4.21,4.16
1825,8.39,7.63,5.8,4.18
1826,8.36,7.62,4.68,4.16
1827,8.81,7.65,5.49,4.19
1828,8.17,7.68,5.34,4.23
1829,7.94,7.72,4.78,4.28
1830,8.52,7.80,6.14,4.39
1831,7.64,7.84,3.83,4.38
1832,7.45,7.86,5.11,4.48
1833,8.01,7.87,5.91,4.54
1834,8.15,7.90,5.89,4.60
1835,7.39,7.91,3.91,4.61
1836,7.7,7.94,3.78,4.65
1837,7.38,7.96,4.38,4.69
1838,7.51,7.95,3.33,4.62
1839,7.63,7.96,5.77,4.72
1840,7.8,7.97,4.86,4.78
1841,7.69,7.95,4.71,4.82
1842,8.02,7.94,4.8,4.84
1843,8.17,7.96,3.33,4.80
1844,7.65,7.92,4.29,4.81
1845,7.85,7.89,5.54,4.79
1846,8.55,7.90,6.89,4.90
1847,8.09,7.87,4.02,4.83
1848,7.98,7.86,4.29,4.78
1849,7.98,7.86,3.97,4.74
1850,7.9,7.83,4.85,4.67
1851,8.18,7.85,5.63,4.76
1852,8.1,7.89,4.91,4.75
1853,8.04,7.89,4.39,4.68
1854,8.21,7.89,5.49,4.66
1855,8.11,7.93,4.3,4.68
1856,8,7.94,3.81,4.68
1857,7.76,7.96,3.7,4.64
1858,8.1,7.99,5.45,4.75
1859,8.25,8.02,3.49,4.64
1860,7.96,8.03,4.43,4.61
1861,7.85,8.04,3.99,4.58
1862,7.56,8.01,3.21,4.50
1863,8.11,8.01,4.21,4.54
1864,7.98,8.03,4.16,4.54
1865,8.18,8.04,4.63,4.49
1866,8.29,8.03,3.32,4.31
1867,8.44,8.05,3.24,4.27
1868,8.25,8.06,3.64,4.24
1869,8.43,8.09,3.68,4.23
1870,8.2,8.10,5.54,4.26
1871,8.12,8.10,4.53,4.21
1872,8.19,8.10,3.74,4.15
1873,8.35,8.12,3.56,4.11
1874,8.43,8.13,4.62,4.06
1875,7.86,8.12,2.18,3.96
1876,8.08,8.12,3.71,3.95
1877,8.54,8.16,5.95,4.06
1878,8.83,8.20,7.2,4.15
1879,8.17,8.19,4.92,4.22
1880,8.12,8.20,4.41,4.22
1881,8.27,8.22,4.75,4.26
1882,8.13,8.25,5.14,4.36
1883,7.98,8.24,2.69,4.28
1884,7.77,8.23,3.59,4.25
