year,global_av_temp,minneapolis_av_temp,global_smoothed_temp,minneapolis_smoothed_temp
1750,8.72,5.65,8.7200000000000000,5.6500000000000000
1751,7.98,6.44,8.3500000000000000,6.0450000000000000
1752,5.78,-2.72,7.4933333333333333,3.1233333333333333
1753,8.39,4.94,7.7175000000000000,3.5775000000000000
1754,8.47,4.69,7.8680000000000000,3.8000000000000000
1755,8.36,1.80,7.9500000000000000,3.4666666666666667
1756,8.85,5.11,8.0785714285714286,3.7014285714285714
1757,9.02,4.38,8.1962500000000000,3.7862500000000000
1758,6.74,3.49,8.0344444444444444,3.7533333333333333
1759,7.99,4.50,8.0300000000000000,3.8280000000000000
1760,7.19,2.47,7.9536363636363636,3.7045454545454545
1761,8.77,5.27,8.0216666666666667,3.8350000000000000
1762,8.61,5.20,8.0669230769230769,3.9400000000000000
1763,7.50,2.26,8.0264285714285714,3.8200000000000000
1764,8.40,4.55,8.0513333333333333,3.8686666666666667
1765,8.25,4.15,8.0637500000000000,3.8862500000000000
1766,8.41,5.34,8.0841176470588235,3.9717647058823529
1767,8.22,3.80,8.0916666666666667,3.9622222222222222
1768,6.78,3.80,8.0226315789473684,3.9536842105263158
1769,7.69,4.75,8.0060000000000000,3.9935000000000000
1770,7.69,4.61,7.9545000000000000,3.9415000000000000
1771,7.85,5.18,7.9480000000000000,3.8785000000000000
1772,8.19,5.20,8.0685000000000000,4.2745000000000000
1773,8.22,5.25,8.0600000000000000,4.2900000000000000
1774,8.77,4.56,8.0750000000000000,4.2835000000000000
1775,9.18,5.99,8.1160000000000000,4.4930000000000000
1776,8.30,4.80,8.0885000000000000,4.4775000000000000
1777,8.26,4.73,8.0505000000000000,4.4950000000000000
1778,8.54,1.80,8.1405000000000000,4.4105000000000000
1779,8.98,5.09,8.1900000000000000,4.4400000000000000
1780,9.43,8.71,8.3020000000000000,4.7520000000000000
1781,8.10,5.02,8.2685000000000000,4.7395000000000000
1782,7.90,4.58,8.2330000000000000,4.7085000000000000
1783,7.68,4.38,8.2420000000000000,4.8145000000000000
1784,7.86,4.48,8.2150000000000000,4.8110000000000000
1785,7.36,4.17,8.1705000000000000,4.8120000000000000
1786,8.26,4.74,8.1630000000000000,4.7820000000000000
1787,8.03,4.79,8.1535000000000000,4.8315000000000000
1788,8.45,5.16,8.2370000000000000,4.8995000000000000
1789,8.33,4.95,8.2690000000000000,4.9095000000000000
1790,7.98,4.83,8.2835000000000000,4.9205000000000000
1791,8.23,5.10,8.3025000000000000,4.9165000000000000
1792,8.09,4.65,8.2975000000000000,4.8890000000000000
1793,8.23,5.01,8.2980000000000000,4.8770000000000000
1794,8.53,5.17,8.2860000000000000,4.9075000000000000
1795,8.35,5.01,8.2445000000000000,4.8585000000000000
1796,8.27,5.02,8.2430000000000000,4.8695000000000000
1797,8.51,4.63,8.2555000000000000,4.8645000000000000
1798,8.67,5.34,8.2620000000000000,5.0415000000000000
1799,8.51,5.11,8.2385000000000000,5.0425000000000000
1800,8.48,5.06,8.1910000000000000,4.8600000000000000
1801,8.59,5.39,8.2155000000000000,4.8785000000000000
1802,8.58,5.52,8.2495000000000000,4.9255000000000000
1803,8.50,5.30,8.2905000000000000,4.9715000000000000
1804,8.84,5.37,8.3395000000000000,5.0160000000000000
